accepted_grafts_on_target_before_stage,activation,actual_decision,actual_gain,actual_target,best_loss,best_step,candidate_composed_gain,candidate_composed_loss,candidate_score,candidate_tag,candidate_target,checkpoint_bytes_delta,efficiency_rank,efficiency_score,elapsed_s,final_loss,gain,gain_per_mb_checkpoint,gain_per_million_params,gain_per_probe_second,init_scale,learning_rate,matches_actual_target,ntk_activation_score,ntk_delta_abs,ntk_delta_from_previous_stage,ntk_hybrid_bonus,ntk_hybrid_penalty,ntk_rank,ntk_risk_penalty,params_per_graft,pass,previous_composed_loss,previous_loss,previous_ntk_activation_score,probe_seconds,redundancy_penalty,run_dir,saturation_adjusted_ntk,seed,stage,trained_steps
0,silu,approved,0.0015499591827392578,blocks.4,10.41462755203247,5000,0.0015468597412109375,10.41462755203247,0.0016289375829696656,blocks.4|lr=3.00e-07|scale=5.00e-03|act=silu,blocks.4,19882756,1,0.0014637468050422663,592.9118523140205,10.42863917350769,0.0015468597412109375,7.779906071426604e-05,0.0003111962428570642,2.6089202554711e-06,0.005,3e-07,True,4.103892087936401,,,8.207784175872804e-05,0.0,1,0.0,4970689,deep,10.416174411773682,10.416174411773682,,592.9118523140205,0.0,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42,4.103892087936401,42,1,20000
0,silu,approved,0.0015499591827392578,blocks.4,10.414624452590942,10000,0.0015499591827392578,10.414624452590942,0.001632037024497986,blocks.4|lr=1.00e-07|scale=1.00e-02|act=silu,blocks.4,19882756,2,0.0014530098412322862,731.2759056970244,10.42118525505066,0.0015499591827392578,7.795494662506836e-05,0.00031181978650027345,2.119527213551355e-06,0.01,1e-07,True,4.103892087936401,,,8.207784175872804e-05,0.0,1,0.0,4970689,deep,10.416174411773682,10.416174411773682,,731.2759056970244,0.0,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42,4.103892087936401,42,1,25000
0,silu,approved,0.0015499591827392578,blocks.4,10.414742946624756,5000,0.0014314651489257812,10.414742946624756,0.0014924734485149383,blocks.3|lr=3.00e-07|scale=5.00e-03|act=silu,blocks.3,19882756,3,0.0013424481624582105,651.9523553030158,10.428914546966553,0.0014314651489257812,7.199530834285656e-05,0.0002879812333714262,2.1956591417795582e-06,0.005,3e-07,False,3.0504149794578552,,,6.100829958915711e-05,0.0,2,0.0,4970689,deep,10.416174411773682,10.416174411773682,,651.9523553030158,0.0,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42,3.0504149794578552,42,1,20000
0,silu,approved,0.0015499591827392578,blocks.4,10.41480803489685,5000,0.0013663768768310547,10.41480803489685,0.0014074476689100266,blocks.2|lr=3.00e-07|scale=1.00e-02|act=silu,blocks.2,19882756,4,0.0012711012344463865,714.5389144739893,10.427567720413208,0.0013663768768310547,6.872170421600781e-05,0.00027488681686403123,1.9122497727599882e-06,0.01,3e-07,False,2.053539603948593,,,4.107079207897187e-05,0.0,3,0.0,4970689,deep,10.416174411773682,10.416174411773682,,714.5389144739893,0.0,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42,2.053539603948593,42,1,20000
0,silu,approved,0.0015499591827392578,blocks.4,10.414814949035645,5000,0.0013594627380371094,10.414814949035645,0.0014005335301160813,blocks.2|lr=3.00e-07|scale=5.00e-03|act=silu,blocks.2,19882756,5,0.0012638378097511412,718.0317734869896,10.426877975463867,0.0013594627380371094,6.837395872267956e-05,0.00027349583489071826,1.8933183575360852e-06,0.005,3e-07,False,2.053539603948593,,,4.107079207897187e-05,0.0,3,0.0,4970689,deep,10.416174411773682,10.416174411773682,,718.0317734869896,0.0,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42,2.053539603948593,42,1,20000
0,silu,approved,0.0015499591827392578,blocks.4,10.414959907531738,5000,0.0012145042419433594,10.414959907531738,0.0012965820837020875,blocks.4|lr=3.00e-07|scale=1.00e-03|act=silu,blocks.4,19882756,6,0.0011310819345332907,596.0055647279951,10.428584814071655,0.0012145042419433594,6.108329458669408e-05,0.0002443331783467763,2.0377397692547292e-06,0.001,3e-07,True,4.103892087936401,,,8.207784175872804e-05,0.0,1,0.0,4970689,deep,10.416174411773682,10.416174411773682,,596.0055647279951,0.0,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42,4.103892087936401,42,1,20000
0,silu,approved,0.0015499591827392578,blocks.4,10.415069341659546,5000,0.0011050701141357422,10.415069341659546,0.0011660784137248993,blocks.3|lr=3.00e-07|scale=1.00e-02|act=silu,blocks.3,19882756,7,0.001015069868646672,661.7849455180112,10.430528163909912,0.0011050701141357422,5.557932281298137e-05,0.00022231729125192547,1.6698326573004016e-06,0.01,3e-07,False,3.0504149794578552,,,6.100829958915711e-05,0.0,2,0.0,4970689,deep,10.416174411773682,10.416174411773682,,661.7849455180112,0.0,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42,3.0504149794578552,42,1,20000
0,silu,approved,0.0015499591827392578,blocks.4,10.415625810623169,5000,0.0005486011505126953,10.415625810623169,0.0006306789922714233,blocks.4|lr=3.00e-07|scale=1.00e-02|act=silu,blocks.4,19882756,8,0.0004644359485946267,603.4345098079939,10.430791854858398,0.0005486011505126953,2.7591806212010814e-05,0.00011036722484804326,9.091312173830663e-07,0.01,3e-07,True,4.103892087936401,,,8.207784175872804e-05,0.0,1,0.0,4970689,deep,10.416174411773682,10.416174411773682,,603.4345098079939,0.0,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42,4.103892087936401,42,1,20000
0,silu,approved,8.082389831542969e-05,blocks.3,10.414524793624878,5000,9.965896606445312e-05,10.414524793624878,0.0001406030371785164,blocks.2|lr=3.00e-07|scale=5.00e-03|act=silu,blocks.2,19882756,1,-4.223946196516961e-06,800.611613237008,10.42081594467163,9.965896606445312e-05,5.012331593490014e-06,2.0049326373960055e-05,1.2447854167580094e-07,0.005,3e-07,False,2.040867507457733,0.012672096490859985,-0.012672096490859985,4.0944071114063266e-05,0.0,3,0.0,4970689,deep,10.414624452590942,10.414624452590942,2.053539603948593,800.611613237008,0.0,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42,2.040867507457733,42,2,20000
0,silu,approved,8.082389831542969e-05,blocks.3,10.414546489715576,5000,7.796287536621094e-05,10.414546489715576,0.0001389055734872818,blocks.3|lr=3.00e-07|scale=5.00e-03|act=silu,blocks.3,19882756,2,-1.6869709414957656e-05,710.1083384389931,10.423677921295166,7.796287536621094e-05,3.9211302178737664e-06,1.5684520871495066e-05,1.0979011391077883e-07,0.005,3e-07,True,3.043854832649231,0.006560146808624268,-0.006560146808624268,6.094269812107087e-05,0.0,2,0.0,4970689,deep,10.414624452590942,10.414624452590942,3.0504149794578552,710.1083384389931,0.0,/home/rato/dev/ai/SAINT-G/runs/phase16_marco4n_b_ntk_hybrid_topk8_probe2k_24graft_seed42,3.043854832649231,42,2,20000
